,file_name,genre,rating,title,year,has_html,is_txt
143,bluesbrothers_script.pdf,,,,,False,False
144,orig_script.pdf,,,,,True,False
145,bc_draft2.pdf,,,,,True,False
146,Dd5.pdf,,,,,True,False
147,"Doors,%20The.txt",,,,,True,True
148,Music%20Of%20The%20Heart.txt,,,,,True,True
149,Untitled_50_Cent_project_by_Terrence_Winter.pdf,,,,,False,False
150,Hustle&Flow.pdf,,,,,False,False
151,labyrinth_script.pdf,,,,,False,False
152,"Lion-King,-The.pdf",,,,,False,False
153,meanlife.txt,,,,,False,True
154,Music%20Of%20The%20Heart.txt,,,,,True,True
155,Newsies.pdf,,,,,False,False
156,"Pianist,%20The.txt",,,,,True,True
157,screen2.pdf,,,,,False,False
158,screen2.pdf,,,,,False,False
159,Rock-and-Rule.pdf,,,,,True,False
160,rhps.txt,,,,,False,True
161,ShockTreatmentShootingScript.txt,,,,,False,True
162,sister_act.txt,,,,,False,True
163,Untitled_50_Cent_project_by_Terrence_Winter.pdf,,,,,False,False
164,walktheline.pdf,,,,,True,False
165,White%20Christmas.txt,,,,,True,True
